,DATE,Country,CO2_variation,Code
0,2020-01-01,Algeria,"0,0%",DZA
1,2020-02-01,Algeria,"0,0%",DZA
2,2020-03-01,Algeria,"0,0%",DZA
3,2020-04-01,Algeria,"0,0%",DZA
4,2020-05-01,Algeria,"0,0%",DZA
5,2020-06-01,Algeria,"0,0%",DZA
6,2020-07-01,Algeria,"0,0%",DZA
7,2020-08-01,Algeria,"0,0%",DZA
8,2020-09-01,Algeria,"0,0%",DZA
9,2020-10-01,Algeria,"0,0%",DZA
10,2020-11-01,Algeria,"0,0%",DZA
11,2020-12-01,Algeria,"0,0%",DZA
12,2020-01-13,Algeria,"0,0%",DZA
13,2020-01-14,Algeria,"0,0%",DZA
14,2020-01-15,Algeria,"0,0%",DZA
15,2020-01-16,Algeria,"0,0%",DZA
16,2020-01-17,Algeria,"0,0%",DZA
17,2020-01-18,Algeria,"0,0%",DZA
18,2020-01-19,Algeria,"0,0%",DZA
19,2020-01-20,Algeria,"0,0%",DZA
20,2020-01-21,Algeria,"0,0%",DZA
21,2020-01-22,Algeria,"0,0%",DZA
22,2020-01-23,Algeria,"0,0%",DZA
23,2020-01-24,Algeria,"0,0%",DZA
24,2020-01-25,Algeria,"0,0%",DZA
25,2020-01-26,Algeria,"0,0%",DZA
26,2020-01-27,Algeria,"0,0%",DZA
27,2020-01-28,Algeria,"0,0%",DZA
28,2020-01-29,Algeria,"0,0%",DZA
29,2020-01-30,Algeria,"0,0%",DZA
30,2020-01-31,Algeria,"0,0%",DZA
31,2020-01-02,Algeria,"0,0%",DZA
32,2020-02-02,Algeria,"0,0%",DZA
33,2020-03-02,Algeria,"0,0%",DZA
34,2020-04-02,Algeria,"0,0%",DZA
35,2020-05-02,Algeria,"0,0%",DZA
36,2020-06-02,Algeria,"0,0%",DZA
37,2020-07-02,Algeria,"0,0%",DZA
38,2020-08-02,Algeria,"0,0%",DZA
39,2020-09-02,Algeria,"0,0%",DZA
40,2020-10-02,Algeria,"0,0%",DZA
41,2020-11-02,Algeria,"0,0%",DZA
42,2020-12-02,Algeria,"0,0%",DZA
43,2020-02-13,Algeria,"0,0%",DZA
44,2020-02-14,Algeria,"0,0%",DZA
45,2020-02-15,Algeria,"0,0%",DZA
46,2020-02-16,Algeria,"0,0%",DZA
47,2020-02-17,Algeria,"0,0%",DZA
48,2020-02-18,Algeria,"0,0%",DZA
49,2020-02-19,Algeria,"0,0%",DZA
50,2020-02-20,Algeria,"0,0%",DZA
51,2020-02-21,Algeria,"0,0%",DZA
52,2020-02-22,Algeria,"0,0%",DZA
53,2020-02-23,Algeria,"0,0%",DZA
54,2020-02-24,Algeria,"0,0%",DZA
55,2020-02-25,Algeria,"0,0%",DZA
56,2020-02-26,Algeria,"0,0%",DZA
57,2020-02-27,Algeria,"0,0%",DZA
58,2020-02-28,Algeria,"0,0%",DZA
59,2020-02-29,Algeria,"0,0%",DZA
60,2020-01-03,Algeria,"0,0%",DZA
61,2020-02-03,Algeria,"0,0%",DZA
62,2020-03-03,Algeria,"0,0%",DZA
63,2020-04-03,Algeria,"0,0%",DZA
64,2020-05-03,Algeria,"0,0%",DZA
65,2020-06-03,Algeria,"0,0%",DZA
66,2020-07-03,Algeria,"0,0%",DZA
67,2020-08-03,Algeria,"0,0%",DZA
